Fecha,Consumo_Kg
2025-11-23,65.16
2025-11-24,74.48
2025-11-25,99.32
2025-11-26,82.91
2025-11-27,93.8
2025-11-28,88.66
2025-11-29,70.45
2025-11-30,88.13
2025-12-01,75.25
2025-12-02,75.16
2025-12-03,81.46
2025-12-04,57.11
2025-12-05,97.88
2025-12-06,69.93
2025-12-07,95.0
2025-12-08,82.04
2025-12-09,102.98
2025-12-10,70.1
2025-12-11,75.32
2025-12-12,85.07
2025-12-13,46.89
2025-12-14,92.42
2025-12-15,103.12
2025-12-16,96.9
2025-12-17,91.32
2025-12-18,77.81
2025-12-19,99.23
2025-12-20,96.11
2025-12-21,85.89
2025-12-22,80.08
2025-12-23,74.57
2025-12-24,61.55
2025-12-25,98.39
2025-12-26,47.42
2025-12-27,74.45
2025-12-28,82.47
2025-12-29,92.9
2025-12-30,106.42
2025-12-31,94.9
2026-01-01,75.63
2026-01-02,90.92
2026-01-03,61.08
2026-01-04,101.45
2026-01-05,77.65
2026-01-06,69.89
2026-01-07,70.41
2026-01-08,79.08
2026-01-09,74.11
2026-01-10,114.35
2026-01-11,69.23
2026-01-12,80.49
2026-01-13,80.42
2026-01-14,80.42
2026-01-15,80.83
2026-01-16,72.78
2026-01-17,71.25
2026-01-18,67.07
2026-01-19,57.68
2026-01-20,83.24
2026-01-21,94.77
2026-01-22,71.85
2026-01-23,71.62
2026-01-24,75.25
2026-01-25,73.09
2026-01-26,58.46
2026-01-27,100.48
2026-01-28,86.58
2026-01-29,69.32
2026-01-30,84.46
2026-01-31,73.42
2026-02-01,76.83
2026-02-02,85.46
2026-02-03,94.29
2026-02-04,102.79
2026-02-05,105.56
2026-02-06,76.27
2026-02-07,72.5
2026-02-08,81.49
2026-02-09,81.93
2026-02-10,68.99
2026-02-11,70.69
2026-02-12,92.2
2026-02-13,104.63
2026-02-14,76.6
2026-02-15,70.28
2026-02-16,75.75
2026-02-17,65.07
2026-02-18,75.91
2026-02-19,86.34
2026-02-20,78.78
2026-02-21,98.52
2026-02-22,82.26
2026-02-23,87.22
2026-02-24,77.77
2026-02-25,99.73
2026-02-26,61.66
2026-02-27,75.45
2026-02-28,62.39
2026-03-01,92.39
2026-03-02,92.75
2026-03-03,72.26
2026-03-04,104.87
2026-03-05,75.54
2026-03-06,59.25
2026-03-07,75.78
2026-03-08,85.4
2026-03-09,76.48
2026-03-10,113.98
2026-03-11,92.83
2026-03-12,105.97
2026-03-13,100.79
2026-03-14,54.71
2026-03-15,74.33
2026-03-16,39.07
2026-03-17,70.3
2026-03-18,96.73
2026-03-19,67.35
2026-03-20,70.45
2026-03-21,84.89
2026-03-22,91.81
2026-03-23,74.66
2026-03-24,76.16
2026-03-25,92.13
2026-03-26,83.81
2026-03-27,75.72
2026-03-28,84.72
2026-03-29,81.14
2026-03-30,83.82
2026-03-31,110.02
2026-04-01,75.42
2026-04-02,71.9
2026-04-03,101.2
2026-04-04,69.41
2026-04-05,105.8
2026-04-06,77.09
2026-04-07,81.11
2026-04-08,91.0
2026-04-09,98.2
2026-04-10,94.95
2026-04-11,76.95
2026-04-12,74.5
2026-04-13,85.21
2026-04-14,82.02
2026-04-15,70.37
2026-04-16,86.16
2026-04-17,94.91
2026-04-18,82.5
2026-04-19,103.46
2026-04-20,86.15
2026-04-21,77.66
2026-04-22,81.5
2026-04-23,71.6
2026-04-24,64.53
2026-04-25,87.15
2026-04-26,67.2
2026-04-27,74.63
2026-04-28,78.66
2026-04-29,85.78
2026-04-30,86.92
2026-05-01,80.81
2026-05-02,51.03
2026-05-03,76.9
2026-05-04,68.37
2026-05-05,78.33
2026-05-06,94.87
2026-05-07,92.07
2026-05-08,83.3
2026-05-09,87.59
2026-05-10,57.67
2026-05-11,82.92
2026-05-12,89.37
2026-05-13,69.41
2026-05-14,86.07
2026-05-15,74.29
2026-05-16,95.01
2026-05-17,96.63
2026-05-18,71.98
2026-05-19,101.94
2026-05-20,77.15
2026-05-21,110.93
2026-05-22,72.63
2026-05-23,80.96
2026-05-24,83.2
2026-05-25,68.74
2026-05-26,54.12
2026-05-27,68.01
2026-05-28,96.19
2026-05-29,75.07
2026-05-30,75.1
2026-05-31,102.75
2026-06-01,87.4
2026-06-02,90.53
2026-06-03,92.74
2026-06-04,66.39
2026-06-05,81.87
2026-06-06,82.25
2026-06-07,77.62
2026-06-08,63.6
2026-06-09,86.96
2026-06-10,55.12
