Fecha,Consumo_Kg
2025-11-23,33.28
2025-11-24,12.05
2025-11-25,26.8
2025-11-26,31.21
2025-11-27,27.15
2025-11-28,43.77
2025-11-29,34.57
2025-11-30,38.83
2025-12-01,31.01
2025-12-02,38.42
2025-12-03,11.58
2025-12-04,30.43
2025-12-05,43.01
2025-12-06,25.11
2025-12-07,17.61
2025-12-08,13.34
2025-12-09,7.2
2025-12-10,30.12
2025-12-11,9.1
2025-12-12,21.89
2025-12-13,31.95
2025-12-14,23.42
2025-12-15,42.59
2025-12-16,22.37
2025-12-17,39.52
2025-12-18,25.09
2025-12-19,30.99
2025-12-20,30.69
2025-12-21,27.13
2025-12-22,25.51
2025-12-23,20.24
2025-12-24,22.35
2025-12-25,32.38
2025-12-26,32.39
2025-12-27,35.48
2025-12-28,30.2
2025-12-29,14.05
2025-12-30,22.46
2025-12-31,30.4
2026-01-01,30.09
2026-01-02,27.4
2026-01-03,26.06
2026-01-04,26.48
2026-01-05,32.51
2026-01-06,34.35
2026-01-07,28.21
2026-01-08,7.02
2026-01-09,12.72
2026-01-10,28.42
2026-01-11,16.34
2026-01-12,14.29
2026-01-13,26.68
2026-01-14,17.96
2026-01-15,35.79
2026-01-16,34.32
2026-01-17,21.28
2026-01-18,18.37
2026-01-19,32.52
2026-01-20,17.55
2026-01-21,29.32
2026-01-22,27.54
2026-01-23,19.84
2026-01-24,34.28
2026-01-25,37.98
2026-01-26,28.01
2026-01-27,30.01
2026-01-28,35.96
2026-01-29,20.43
2026-01-30,44.18
2026-01-31,21.49
2026-02-01,18.91
2026-02-02,20.1
2026-02-03,33.61
2026-02-04,21.14
2026-02-05,30.36
2026-02-06,36.12
2026-02-07,50.65
2026-02-08,1.29
2026-02-09,33.03
2026-02-10,28.51
2026-02-11,23.17
2026-02-12,27.64
2026-02-13,29.26
2026-02-14,40.7
2026-02-15,36.1
2026-02-16,21.77
2026-02-17,19.62
2026-02-18,20.68
2026-02-19,28.33
2026-02-20,24.63
2026-02-21,30.71
2026-02-22,28.66
2026-02-23,25.41
2026-02-24,28.17
2026-02-25,17.81
2026-02-26,34.93
2026-02-27,32.98
2026-02-28,58.24
2026-03-01,18.12
2026-03-02,36.29
2026-03-03,33.16
2026-03-04,42.23
2026-03-05,28.56
2026-03-06,25.3
2026-03-07,32.74
2026-03-08,22.57
2026-03-09,22.49
2026-03-10,21.46
2026-03-11,14.48
2026-03-12,12.45
2026-03-13,30.49
2026-03-14,25.33
2026-03-15,40.4
2026-03-16,21.19
2026-03-17,33.09
2026-03-18,21.87
2026-03-19,33.3
2026-03-20,10.69
2026-03-21,25.95
2026-03-22,21.01
2026-03-23,22.71
2026-03-24,9.67
2026-03-25,40.92
2026-03-26,35.34
2026-03-27,30.67
2026-03-28,35.23
2026-03-29,25.0
2026-03-30,34.0
2026-03-31,36.37
2026-04-01,26.59
2026-04-02,27.52
2026-04-03,27.22
2026-04-04,40.44
2026-04-05,15.3
2026-04-06,31.2
2026-04-07,21.42
2026-04-08,21.47
2026-04-09,24.02
2026-04-10,29.37
2026-04-11,29.18
2026-04-12,21.99
2026-04-13,32.87
2026-04-14,19.11
2026-04-15,40.62
2026-04-16,42.71
2026-04-17,31.0
2026-04-18,45.37
2026-04-19,30.02
2026-04-20,28.08
2026-04-21,43.59
2026-04-22,24.14
2026-04-23,35.67
2026-04-24,17.39
2026-04-25,16.21
2026-04-26,26.71
2026-04-27,36.62
2026-04-28,17.34
2026-04-29,20.05
2026-04-30,27.8
2026-05-01,25.22
2026-05-02,25.06
2026-05-03,22.31
2026-05-04,26.54
2026-05-05,35.85
2026-05-06,22.96
2026-05-07,23.57
2026-05-08,13.62
2026-05-09,25.58
2026-05-10,37.05
2026-05-11,30.2
2026-05-12,23.17
2026-05-13,32.41
2026-05-14,31.33
2026-05-15,0.93
2026-05-16,14.87
2026-05-17,35.22
2026-05-18,19.23
2026-05-19,9.43
2026-05-20,32.61
2026-05-21,37.6
2026-05-22,28.62
2026-05-23,34.02
2026-05-24,36.62
2026-05-25,10.01
2026-05-26,31.75
2026-05-27,26.08
2026-05-28,29.66
2026-05-29,26.11
2026-05-30,33.56
2026-05-31,20.82
2026-06-01,11.21
2026-06-02,28.47
2026-06-03,35.24
2026-06-04,29.92
2026-06-05,33.07
2026-06-06,34.89
2026-06-07,34.79
2026-06-08,39.36
2026-06-09,23.18
2026-06-10,40.4
