Fecha,Consumo_Kg
2025-11-23,349.87
2025-11-24,324.47
2025-11-25,355.91
2025-11-26,390.92
2025-11-27,320.63
2025-11-28,320.63
2025-11-29,393.17
2025-11-30,360.7
2025-12-01,311.22
2025-12-02,351.7
2025-12-03,311.46
2025-12-04,311.37
2025-12-05,339.68
2025-12-06,253.47
2025-12-07,261.0
2025-12-08,307.51
2025-12-09,289.49
2025-12-10,342.57
2025-12-11,293.68
2025-12-12,273.51
2025-12-13,388.63
2025-12-14,320.97
2025-12-15,332.7
2025-12-16,273.01
2025-12-17,308.22
2025-12-18,334.44
2025-12-19,283.96
2025-12-20,345.03
2025-12-21,305.97
2025-12-22,318.33
2025-12-23,305.93
2025-12-24,404.09
2025-12-25,329.46
2025-12-26,287.69
2025-12-27,362.9
2025-12-28,281.17
2025-12-29,338.35
2025-12-30,251.61
2025-12-31,276.87
2026-01-01,337.87
2026-01-02,359.54
2026-01-03,336.85
2026-01-04,325.37
2026-01-05,317.96
2026-01-06,270.86
2026-01-07,301.21
2026-01-08,311.57
2026-01-09,372.28
2026-01-10,343.74
2026-01-11,259.48
2026-01-12,342.96
2026-01-13,314.6
2026-01-14,302.92
2026-01-15,354.47
2026-01-16,371.24
2026-01-17,367.25
2026-01-18,296.43
2026-01-19,317.63
2026-01-20,343.25
2026-01-21,369.02
2026-01-22,310.83
2026-01-23,322.57
2026-01-24,285.75
2026-01-25,282.15
2026-01-26,362.5
2026-01-27,384.25
2026-01-28,327.12
2026-01-29,370.14
2026-01-30,344.47
2026-01-31,304.2
2026-02-01,344.46
2026-02-02,391.52
2026-02-03,328.57
2026-02-04,392.59
2026-02-05,225.21
2026-02-06,362.88
2026-02-07,333.48
2026-02-08,318.04
2026-02-09,333.67
2026-02-10,250.5
2026-02-11,321.21
2026-02-12,344.28
2026-02-13,389.12
2026-02-14,309.27
2026-02-15,297.66
2026-02-16,309.93
2026-02-17,366.62
2026-02-18,343.15
2026-02-19,308.81
2026-02-20,350.53
2026-02-21,333.88
2026-02-22,368.75
2026-02-23,301.92
2026-02-24,316.89
2026-02-25,314.32
2026-02-26,271.46
2026-02-27,341.84
2026-02-28,340.44
2026-03-01,330.2
2026-03-02,320.62
2026-03-03,273.39
2026-03-04,313.17
2026-03-05,316.29
2026-03-06,297.91
2026-03-07,323.55
2026-03-08,346.16
2026-03-09,405.45
2026-03-10,336.98
2026-03-11,340.3
2026-03-12,327.02
2026-03-13,253.25
2026-03-14,328.94
2026-03-15,332.41
2026-03-16,428.53
2026-03-17,322.31
2026-03-18,342.06
2026-03-19,328.61
2026-03-20,283.25
2026-03-21,375.71
2026-03-22,360.08
2026-03-23,361.64
2026-03-24,293.62
2026-03-25,386.11
2026-03-26,273.93
2026-03-27,353.47
2026-03-28,417.62
2026-03-29,290.38
2026-03-30,307.35
2026-03-31,333.99
2026-04-01,309.86
2026-04-02,267.97
2026-04-03,332.74
2026-04-04,287.51
2026-04-05,348.94
2026-04-06,293.22
2026-04-07,392.0
2026-04-08,298.67
2026-04-09,317.12
2026-04-10,362.54
2026-04-11,280.77
2026-04-12,339.1
2026-04-13,382.29
2026-04-14,265.7
2026-04-15,337.39
2026-04-16,340.4
2026-04-17,361.27
2026-04-18,280.52
2026-04-19,277.18
2026-04-20,350.88
2026-04-21,341.88
2026-04-22,340.02
2026-04-23,343.86
2026-04-24,302.8
2026-04-25,339.29
2026-04-26,341.72
2026-04-27,301.43
2026-04-28,404.63
2026-04-29,348.95
2026-04-30,282.35
2026-05-01,356.26
2026-05-02,291.01
2026-05-03,361.48
2026-05-04,376.34
2026-05-05,297.17
2026-05-06,368.54
2026-05-07,346.51
2026-05-08,362.88
2026-05-09,405.87
2026-05-10,320.18
2026-05-11,299.85
2026-05-12,294.42
2026-05-13,297.37
2026-05-14,326.92
2026-05-15,343.65
2026-05-16,341.07
2026-05-17,363.09
2026-05-18,330.52
2026-05-19,388.14
2026-05-20,319.41
2026-05-21,438.81
2026-05-22,355.03
2026-05-23,295.71
2026-05-24,287.16
2026-05-25,349.3
2026-05-26,321.06
2026-05-27,358.56
2026-05-28,348.93
2026-05-29,327.09
2026-05-30,296.13
2026-05-31,269.41
2026-06-01,312.14
2026-06-02,364.26
2026-06-03,338.56
2026-06-04,280.17
2026-06-05,336.93
2026-06-06,345.41
2026-06-07,294.65
2026-06-08,336.15
2026-06-09,332.33
2026-06-10,284.28
