Fecha,Consumo_Kg
2025-11-23,62.58
2025-11-24,28.61
2025-11-25,70.95
2025-11-26,52.1
2025-11-27,23.22
2025-11-28,50.36
2025-11-29,45.03
2025-11-30,47.83
2025-12-01,49.21
2025-12-02,74.38
2025-12-03,63.82
2025-12-04,58.53
2025-12-05,48.22
2025-12-06,59.11
2025-12-07,73.38
2025-12-08,63.85
2025-12-09,61.62
2025-12-10,42.76
2025-12-11,72.09
2025-12-12,56.83
2025-12-13,57.31
2025-12-14,60.41
2025-12-15,58.3
2025-12-16,53.64
2025-12-17,47.49
2025-12-18,53.41
2025-12-19,54.28
2025-12-20,50.87
2025-12-21,52.17
2025-12-22,63.68
2025-12-23,65.69
2025-12-24,53.27
2025-12-25,43.43
2025-12-26,54.02
2025-12-27,42.11
2025-12-28,49.34
2025-12-29,70.46
2025-12-30,50.83
2025-12-31,50.11
2026-01-01,36.9
2026-01-02,54.4
2026-01-03,56.03
2026-01-04,48.79
2026-01-05,36.9
2026-01-06,57.73
2026-01-07,56.19
2026-01-08,56.86
2026-01-09,56.41
2026-01-10,51.61
2026-01-11,53.38
2026-01-12,57.49
2026-01-13,52.65
2026-01-14,47.3
2026-01-15,36.59
2026-01-16,64.35
2026-01-17,52.97
2026-01-18,64.56
2026-01-19,56.3
2026-01-20,42.65
2026-01-21,60.33
2026-01-22,50.94
2026-01-23,41.6
2026-01-24,60.16
2026-01-25,66.01
2026-01-26,47.64
2026-01-27,59.72
2026-01-28,69.7
2026-01-29,49.88
2026-01-30,49.84
2026-01-31,54.28
2026-02-01,72.64
2026-02-02,41.91
2026-02-03,51.04
2026-02-04,44.59
2026-02-05,56.37
2026-02-06,63.95
2026-02-07,56.99
2026-02-08,39.4
2026-02-09,55.54
2026-02-10,50.56
2026-02-11,49.08
2026-02-12,46.85
2026-02-13,48.98
2026-02-14,27.37
2026-02-15,63.37
2026-02-16,58.2
2026-02-17,47.0
2026-02-18,49.37
2026-02-19,48.46
2026-02-20,61.16
2026-02-21,57.99
2026-02-22,59.17
2026-02-23,53.31
2026-02-24,48.48
2026-02-25,52.2
2026-02-26,68.62
2026-02-27,54.05
2026-02-28,54.25
2026-03-01,48.04
2026-03-02,43.97
2026-03-03,41.36
2026-03-04,59.21
2026-03-05,45.78
2026-03-06,55.77
2026-03-07,72.68
2026-03-08,34.03
2026-03-09,47.79
2026-03-10,50.79
2026-03-11,84.08
2026-03-12,54.53
2026-03-13,51.18
2026-03-14,45.53
2026-03-15,71.22
2026-03-16,43.5
2026-03-17,32.41
2026-03-18,62.05
2026-03-19,47.39
2026-03-20,57.93
2026-03-21,78.6
2026-03-22,54.7
2026-03-23,55.97
2026-03-24,73.43
2026-03-25,33.19
2026-03-26,55.14
2026-03-27,62.55
2026-03-28,73.16
2026-03-29,25.4
2026-03-30,60.93
2026-03-31,53.44
2026-04-01,47.14
2026-04-02,63.2
2026-04-03,47.43
2026-04-04,55.99
2026-04-05,44.93
2026-04-06,57.33
2026-04-07,53.93
2026-04-08,55.56
2026-04-09,38.52
2026-04-10,58.37
2026-04-11,57.37
2026-04-12,66.8
2026-04-13,47.0
2026-04-14,28.39
2026-04-15,67.2
2026-04-16,49.74
2026-04-17,66.83
2026-04-18,44.78
2026-04-19,36.94
2026-04-20,33.77
2026-04-21,58.71
2026-04-22,37.49
2026-04-23,45.19
2026-04-24,59.29
2026-04-25,50.53
2026-04-26,35.73
2026-04-27,41.58
2026-04-28,54.35
2026-04-29,47.22
2026-04-30,71.16
2026-05-01,53.32
2026-05-02,54.5
2026-05-03,50.47
2026-05-04,64.45
2026-05-05,46.98
2026-05-06,40.79
2026-05-07,48.31
2026-05-08,57.79
2026-05-09,46.79
2026-05-10,52.67
2026-05-11,60.22
2026-05-12,73.59
2026-05-13,46.36
2026-05-14,66.52
2026-05-15,36.64
2026-05-16,62.46
2026-05-17,55.96
2026-05-18,42.81
2026-05-19,70.12
2026-05-20,43.53
2026-05-21,64.48
2026-05-22,70.51
2026-05-23,75.67
2026-05-24,64.71
2026-05-25,46.94
2026-05-26,56.11
2026-05-27,71.47
2026-05-28,51.15
2026-05-29,64.49
2026-05-30,64.15
2026-05-31,61.04
2026-06-01,36.61
2026-06-02,60.01
2026-06-03,61.3
2026-06-04,56.19
2026-06-05,36.87
2026-06-06,60.4
2026-06-07,48.54
2026-06-08,41.66
2026-06-09,59.2
2026-06-10,51.68
